Time (s),Speed (km/h),Torque (Nm),RPM,Gear,Drag (N),Coolant (C),Oil (C),RPM/s,Acceleration (m/s2)
0,0,0,800,1,0,85.0027,100,0,0
0.1,7.28839,246.5,800,1,0,85.0053,100,0,0
0.2,8.69487,308.612,954.38,1,2.17078,85.0085,100,1543.8,3.90689
0.3,10.4681,386.923,1149.02,1,3.08943,85.0123,100,1946.41,4.92576
0.4,12.7038,485.654,1394.42,1,4.47808,85.0169,100.001,2453.97,6.21025
0.5,15.5225,610.129,1703.8,1,6.59511,85.0226,100.001,3093.82,7.82951
0.6,19.0759,767.055,2093.84,1,9.84631,85.0295,100.001,3900.4,9.87071
0.7,23.5556,850,2585.55,1,14.8704,85.0381,100.002,4917.09,12.4436
0.8,28.5241,850,3130.9,1,22.6747,85.0485,100.003,5453.52,13.8012
0.9,33.4907,850,3676.06,1,33.2487,85.0607,100.004,5451.57,13.7962
1,38.4552,850,4220.98,1,45.8354,85.0747,100.005,5449.25,13.7904
1.1,43.4173,831.937,4765.64,1,60.4315,85.0905,100.006,5446.56,13.7836
1.2,48.2699,795.717,5298.28,1,77.0333,85.108,100.007,5326.36,13.4794
1.3,52.9054,761.118,5807.09,1,95.2149,85.1273,100.009,5088.14,12.8765
1.4,57.3334,728.068,6293.11,1,114.381,85.1482,100.011,4860.24,12.2998
1.5,61.5627,696.501,6757.34,1,134.328,85.1706,100.014,4642.25,11.7481
1.6,65.602,829.533,4800.99,2,154.877,85.1864,100.016,4433.76,11.2205
1.7,68.7906,813.665,5034.33,2,175.868,85.203,100.019,2333.48,8.85705
1.8,71.9137,798.123,5262.89,2,193.379,85.2203,100.022,2285.59,8.67526
1.9,74.9731,782.898,5486.79,2,208.167,85.2384,100.025,2238.97,8.33172
2,77.9694,767.987,5706.07,2,226.256,85.2572,100.029,2192.86,8.32328
2.1,80.904,753.383,5920.83,2,244.702,85.2767,100.033,2147.6,8.15152
2.2,83.7792,739.075,6131.25,2,255.564,85.2969,100.037,2104.17,7.98666
2.3,86.5949,725.062,6337.32,2,274.052,85.3178,100.041,2060.65,7.82148
2.4,89.3523,711.34,6539.11,2,292.783,85.3393,100.045,2017.95,7.65942
2.5,92.0525,697.903,6736.72,2,311.725,85.3615,100.05,1976.07,7.50044
2.6,94.6965,684.745,6930.22,2,330.85,85.3843,100.055,1934.98,7.34449
2.7,97.2854,831.598,4770.62,3,350.129,85.3999,100.06,1894.68,7.19153
2.8,99.3688,824.651,4872.78,3,369.535,85.4158,100.065,1021.63,5.78715
2.9,101.431,817.774,4973.92,3,385.532,85.432,100.071,1011.32,5.67833
3,103.473,810.964,5074.06,3,397.623,85.4485,100.077,1001.43,5.67269
3.1,105.495,804.223,5173.19,3,413.795,85.4654,100.082,991.28,5.61522
3.2,107.496,797.551,5271.31,3,430.121,85.4826,100.088,981.211,5.55818
3.3,109.476,790.947,5368.43,3,446.592,85.5001,100.095,971.219,5.50158
3.4,111.437,784.41,5464.56,3,463.201,85.5179,100.101,961.303,5.44541
3.5,113.377,777.94,5559.71,3,479.938,85.5361,100.108,951.464,5.38968
3.6,115.297,771.536,5653.88,3,496.796,85.5545,100.114,941.701,5.33438
3.7,117.198,765.199,5747.08,3,513.768,85.5733,100.121,932.016,5.27951
3.8,119.079,758.926,5839.32,3,530.846,85.5923,100.128,922.406,5.22508
3.9,120.941,752.719,5930.61,3,548.023,85.6117,100.135,912.873,5.12557
4,122.782,746.577,6020.92,3,568.104,85.6313,100.143,903.185,5.1162
4.1,124.605,740.499,6110.3,3,585.54,85.6512,100.151,893.8,5.06303
4.2,126.409,734.485,6198.75,3,603.053,85.6714,100.158,884.491,5.0103
4.3,128.194,728.533,6286.28,3,620.639,85.692,100.166,875.258,4.958
4.4,129.96,722.644,6372.89,3,638.289,85.7127,100.175,866.101,4.90613
4.5,131.708,716.816,6458.59,3,655.998,85.7338,100.183,857.02,4.85469
4.6,133.437,711.049,6543.39,3,673.761,85.7552,100.191,848.014,4.80368
4.7,135.148,705.344,6627.3,3,691.57,85.7768,100.2,839.084,4.75309
4.8,136.841,699.698,6710.32,3,709.42,85.7987,100.209,830.229,4.70293
4.9,138.516,694.112,6792.47,3,727.306,85.8208,100.218,821.449,4.61224
5,140.174,688.586,6873.74,3,745.221,85.8432,100.228,812.744,4.60388
5.1,141.813,683.118,6954.15,3,763.162,85.8659,100.237,804.113,4.55499
5.2,143.436,777.409,5567.52,4,781.122,85.8839,100.247,795.557,4.50652
5.3,144.876,773.607,5623.43,4,799.096,85.9021,100.257,559.129,4.00134
5.4,146.306,769.833,5678.93,4,815.227,85.9205,100.267,554.995,3.97175
5.5,147.725,766.087,5734.02,4,831.398,85.9391,100.277,550.88,3.9423
5.6,149.134,762.369,5788.7,4,847.606,85.9578,100.287,546.785,3.913
5.7,150.532,758.678,5842.97,4,863.848,85.9767,100.297,542.711,3.88385
5.8,151.92,755.015,5896.83,4,880.122,85.9958,100.308,538.658,3.85484
5.9,153.297,751.38,5950.3,4,896.424,86.015,100.319,534.625,3.80488
6,154.664,747.772,6003.36,4,912.752,86.0345,100.329,530.612,3.79726
6.1,156.021,744.191,6056.02,4,929.104,86.0541,100.34,526.62,3.76869
6.2,157.368,740.637,6108.28,4,945.475,86.0738,100.351,522.649,3.74027
6.3,158.704,737.109,6160.15,4,961.865,86.0938,100.362,518.698,3.712
6.4,160.03,733.609,6211.63,4,978.27,86.1139,100.374,514.768,3.68388
6.5,161.346,730.135,6262.72,4,994.688,86.1341,100.385,510.859,3.6559
6.6,162.652,726.688,6313.41,4,1011.12,86.1546,100.397,506.971,3.62808
6.7,163.948,723.267,6363.72,4,1027.55,86.1752,100.408,503.104,3.6004
6.8,165.235,719.872,6413.65,4,1043.99,86.1959,100.42,499.258,3.57288
6.9,166.511,716.503,6463.19,4,1060.44,86.2168,100.432,495.433,3.52595
7,167.778,713.16,6512.36,4,1076.89,86.2379,100.444,491.628,3.51828
7.1,169.034,709.842,6561.14,4,1093.33,86.2591,100.456,487.845,3.4912
7.2,170.282,706.551,6609.55,4,1109.77,86.2805,100.469,484.083,3.46428
7.3,171.519,703.284,6657.58,4,1126.21,86.3021,100.481,480.342,3.43751
7.4,172.747,700.043,6705.25,4,1142.64,86.3238,100.494,476.622,3.41089
7.5,173.965,696.827,6752.54,4,1159.06,86.3456,100.507,472.924,3.38442
7.6,175.174,693.637,6799.46,4,1175.47,86.3676,100.519,469.246,3.3581
7.7,176.374,690.471,6846.02,4,1191.86,86.3898,100.533,465.59,3.33194
7.8,177.564,687.329,6892.22,4,1208.24,86.4121,100.546,461.954,3.30592
7.9,178.745,684.213,6938.05,4,1224.6,86.4345,100.559,458.34,3.26197
8,179.916,681.12,6983.53,4,1240.94,86.4571,100.573,454.748,3.25435
8.1,181.079,787.576,5418,5,1257.26,86.4745,100.586,451.176,3.22879
8.2,182.084,785.531,5448.07,5,1273.56,86.4919,100.6,300.698,2.79162
8.3,183.083,783.498,5477.97,5,1287.73,86.5094,100.613,299,2.77586
8.4,184.077,781.476,5507.7,5,1301.91,86.5271,100.627,297.308,2.76015
8.5,185.065,779.466,5537.26,5,1316.08,86.5448,100.641,295.622,2.7445
8.6,186.047,777.467,5566.66,5,1330.24,86.5626,100.655,293.941,2.72889
8.7,187.024,775.48,5595.88,5,1344.4,86.5805,100.668,292.267,2.71334
8.8,187.995,773.504,5624.94,5,1358.56,86.5985,100.682,290.598,2.69785
8.9,188.961,771.539,5653.84,5,1372.7,86.6166,100.696,288.935,2.67362
9,189.921,769.586,5682.57,5,1386.84,86.6347,100.711,287.277,2.66702
9.1,190.875,767.643,5711.13,5,1400.97,86.653,100.725,285.626,2.65169
9.2,191.825,765.712,5739.53,5,1415.09,86.6714,100.739,283.98,2.63642
9.3,192.768,763.792,5767.76,5,1429.2,86.6898,100.753,282.341,2.6212
9.4,193.706,761.884,5795.83,5,1443.29,86.7084,100.767,280.707,2.60603
9.5,194.639,759.986,5823.74,5,1457.38,86.727,100.782,279.08,2.59092
9.6,195.566,758.099,5851.48,5,1471.45,86.7457,100.796,277.458,2.57587
9.7,196.488,756.223,5879.07,5,1485.5,86.7645,100.811,275.843,2.56087
9.8,197.405,754.359,5906.49,5,1499.54,86.7834,100.825,274.234,2.54593
9.9,198.316,752.505,5933.76,5,1513.56,86.8024,100.84,272.63,2.52275
10,199.222,750.662,5960.86,5,1527.57,86.8215,100.855,271.033,2.51622
10.1,200.122,748.829,5987.8,5,1541.55,86.8406,100.87,269.442,2.50145
10.2,201.018,747.008,6014.59,5,1555.52,86.8599,100.884,267.857,2.48673
10.3,201.908,745.197,6041.22,5,1569.47,86.8792,100.899,266.279,2.47208
10.4,202.792,743.397,6067.69,5,1583.4,86.8986,100.914,264.706,2.45748
10.5,203.672,741.608,6094,5,1597.3,86.9181,100.929,263.14,2.44294
10.6,204.546,739.829,6120.16,5,1611.19,86.9377,100.945,261.58,2.42846
10.7,205.415,738.061,6146.16,5,1625.05,86.9574,100.96,260.026,2.41403
10.8,206.279,736.303,6172.01,5,1638.89,86.9771,100.975,258.479,2.39967
10.9,207.138,734.556,6197.7,5,1652.7,86.9969,100.99,256.938,2.37754
11,207.991,732.819,6223.24,5,1666.49,87.0169,101.006,255.403,2.37111
11.1,208.84,731.093,6248.63,5,1680.25,87.0368,101.021,253.874,2.35692
11.2,209.683,729.377,6273.87,5,1693.99,87.0569,101.037,252.352,2.34279
11.3,210.521,727.671,6298.95,5,1707.7,87.0771,101.052,250.836,2.32871
11.4,211.355,725.976,6323.88,5,1721.38,87.0973,101.068,249.327,2.3147
11.5,212.183,724.291,6348.66,5,1735.03,87.1176,101.084,247.824,2.30074
11.6,213.006,722.616,6373.3,5,1748.66,87.138,101.1,246.327,2.28685
11.7,213.825,720.951,6397.78,5,1762.26,87.1585,101.115,244.836,2.27301
11.8,214.638,719.296,6422.12,5,1775.82,87.179,101.131,243.352,2.25923
11.9,215.446,717.651,6446.3,5,1789.36,87.1996,101.147,241.875,2.23816
12,216.25,716.017,6470.34,5,1802.86,87.2203,101.164,240.404,2.23186
12.1,217.048,714.392,6494.24,5,1816.33,87.2411,101.18,238.939,2.21826
12.2,217.842,712.777,6517.99,5,1829.77,87.262,101.196,237.48,2.20472
12.3,218.631,711.172,6541.59,5,1843.18,87.2829,101.212,236.029,2.19124
12.4,219.415,709.577,6565.05,5,1856.55,87.3039,101.229,234.583,2.17782
12.5,220.194,707.991,6588.36,5,1869.89,87.325,101.245,233.144,2.16446
12.6,220.969,706.416,6611.53,5,1883.2,87.3461,101.262,231.712,2.15116
12.7,221.738,704.85,6634.56,5,1896.47,87.3674,101.278,230.285,2.13792
12.8,222.503,703.294,6657.45,5,1909.7,87.3887,101.295,228.866,2.12474
12.9,223.263,701.747,6680.19,5,1922.9,87.41,101.312,227.453,2.10471
13,224.019,700.21,6702.8,5,1936.06,87.4315,101.328,226.046,2.09856
13.1,224.77,698.682,6725.26,5,1949.18,87.453,101.345,224.646,2.08556
13.2,225.516,697.164,6747.59,5,1962.27,87.4746,101.362,223.252,2.07262
13.3,226.257,695.655,6769.77,5,1975.32,87.4962,101.379,221.864,2.05975
13.4,226.994,694.156,6791.82,5,1988.33,87.518,101.396,220.484,2.04693
13.5,227.726,692.666,6813.73,5,2001.3,87.5398,101.413,219.109,2.03417
13.6,228.454,691.185,6835.51,5,2014.24,87.5616,101.431,217.741,2.02147
13.7,229.177,689.714,6857.15,5,2027.13,87.5836,101.448,216.38,2.00883
13.8,229.896,688.252,6878.65,5,2039.99,87.6056,101.465,215.025,1.99625
13.9,230.61,686.799,6900.02,5,2052.8,87.6277,101.483,213.676,1.97723
14,231.32,685.355,6921.25,5,2065.57,87.6498,101.5,212.334,1.97127
14.1,232.025,683.92,6942.35,5,2078.31,87.672,101.518,210.999,1.95887
14.2,232.726,682.495,6963.32,5,2091,87.6943,101.535,209.669,1.94653
14.3,233.422,681.078,6984.15,5,2103.65,87.7166,101.553,208.347,1.93425
14.4,234.114,785.315,5451.25,6,2116.25,87.7338,101.571,207.03,1.92203
14.5,234.691,784.401,5464.69,6,2128.82,87.7511,101.589,134.396,1.60331
14.6,235.265,783.492,5478.06,6,2139.33,87.7683,101.606,133.719,1.59522
14.7,235.837,782.587,5491.36,6,2149.81,87.7857,101.624,133.043,1.58716
14.8,236.405,781.687,5504.6,6,2160.27,87.803,101.642,132.37,1.57914
14.9,236.971,780.792,5517.77,6,2170.69,87.8204,101.659,131.7,1.56802
15,237.534,779.901,5530.87,6,2181.09,87.8379,101.677,131.032,1.56317
15.1,238.094,779.014,5543.91,6,2191.46,87.8553,101.695,130.366,1.55523
15.2,238.651,778.132,5556.88,6,2201.81,87.8729,101.712,129.703,1.54732
15.3,239.205,777.255,5569.79,6,2212.12,87.8904,101.73,129.042,1.53943
15.4,239.756,776.382,5582.62,6,2222.41,87.908,101.748,128.384,1.53158
15.5,240.305,775.513,5595.4,6,2232.66,87.9257,101.765,127.728,1.52375
15.6,240.85,774.649,5608.1,6,2242.89,87.9434,101.783,127.074,1.51596
15.7,241.393,773.789,5620.75,6,2253.09,87.9611,101.801,126.423,1.50819
15.8,241.934,772.934,5633.32,6,2263.26,87.9788,101.818,125.775,1.50045
15.9,242.471,772.083,5645.84,6,2273.4,87.9967,101.836,125.129,1.48978
16,243.006,771.237,5658.28,6,2283.51,88.0145,101.854,124.485,1.48507
16.1,243.537,770.394,5670.67,6,2293.59,88.0151,101.871,123.844,1.47741
16.2,244.067,769.557,5682.99,6,2303.64,88.0156,101.888,123.205,1.46979
16.3,244.593,768.723,5695.25,6,2313.67,88.0162,101.905,122.568,1.4622
16.4,245.117,767.894,5707.44,6,2323.66,88.0168,101.922,121.934,1.45464
16.5,245.638,767.069,5719.57,6,2333.62,88.0174,101.938,121.303,1.4471
16.6,246.156,766.249,5731.64,6,2343.55,88.0179,101.955,120.674,1.4396
16.7,246.671,765.432,5743.64,6,2353.45,88.0185,101.97,120.047,1.43212
16.8,247.184,764.62,5755.58,6,2363.32,88.0191,101.986,119.423,1.42468
16.9,247.694,763.812,5767.46,6,2373.15,88.0197,102.002,118.801,1.41445
17,248.202,763.009,5779.28,6,2382.96,88.0203,102.017,118.182,1.40987
17.1,248.707,762.209,5791.04,6,2392.74,88.0209,102.032,117.565,1.40251
17.2,249.209,761.414,5802.73,6,2402.48,88.0215,102.047,116.951,1.39518
17.3,249.709,760.623,5814.37,6,2412.19,88.0221,102.062,116.339,1.38788
17.4,250.206,759.836,5825.94,6,2421.88,88.0228,102.076,115.729,1.38061
17.5,250.7,759.053,5837.45,6,2431.53,88.0234,102.09,115.122,1.37337
17.6,251.192,758.274,5848.91,6,2441.15,88.024,102.104,114.517,1.36616
17.7,251.681,757.5,5860.3,6,2450.73,88.0246,102.118,113.915,1.35897
17.8,252.168,756.729,5871.63,6,2460.29,88.0252,102.132,113.316,1.35182
17.9,252.652,755.963,5882.9,6,2469.81,88.0259,102.145,112.718,1.34202
18,253.134,755.2,5894.11,6,2479.3,88.0265,102.158,112.123,1.3376
18.1,253.613,754.442,5905.27,6,2488.76,88.0272,102.171,111.531,1.33053
18.2,254.089,753.688,5916.36,6,2498.19,88.0278,102.184,110.941,1.32349
18.3,254.563,752.937,5927.39,6,2507.59,88.0284,102.197,110.353,1.31648
18.4,255.034,752.191,5938.37,6,2516.95,88.0291,102.209,109.768,1.3095
18.5,255.503,751.448,5949.29,6,2526.28,88.0298,102.222,109.185,1.30255
18.6,255.97,750.71,5960.15,6,2535.58,88.0304,102.234,108.605,1.29562
18.7,256.434,749.975,5970.95,6,2544.85,88.0311,102.246,108.027,1.28873
18.8,256.895,749.244,5981.7,6,2554.08,88.0317,102.257,107.452,1.28186
18.9,257.354,748.518,5992.39,6,2563.28,88.0324,102.269,106.878,1.2725
19,257.811,747.795,6003.02,6,2572.45,88.0331,102.281,106.308,1.26822
19.1,258.265,747.076,6013.59,6,2581.58,88.0337,102.292,105.74,1.26144
19.2,258.717,746.361,6024.11,6,2590.69,88.0344,102.303,105.174,1.25469
19.3,259.166,745.649,6034.57,6,2599.76,88.0351,102.314,104.61,1.24797
19.4,259.613,744.942,6044.97,6,2608.79,88.0358,102.325,104.049,1.24128
19.5,260.057,744.238,6055.32,6,2617.8,88.0365,102.335,103.491,1.23461
19.6,260.499,743.538,6065.62,6,2626.77,88.0372,102.346,102.934,1.22798
19.7,260.939,742.842,6075.86,6,2635.71,88.0379,102.356,102.381,1.22137
19.8,261.376,742.149,6086.04,6,2644.61,88.0386,102.367,101.829,1.21479
19.9,261.811,741.461,6096.17,6,2653.48,88.0393,102.377,101.28,1.20584
20,262.244,740.776,6106.24,6,2662.32,88.04,102.387,100.734,1.20172
20.1,262.674,740.094,6116.26,6,2671.13,88.0407,102.396,100.189,1.19523
20.2,263.102,739.417,6126.22,6,2679.9,88.0414,102.406,99.6473,1.18876
20.3,263.528,738.743,6136.13,6,2688.64,88.0421,102.416,99.1078,1.18232
20.4,263.951,738.073,6145.99,6,2697.35,88.0428,102.425,98.5706,1.17592
20.5,264.372,737.406,6155.79,6,2706.02,88.0435,102.434,98.0358,1.16954
20.6,264.791,736.743,6165.54,6,2714.66,88.0442,102.443,97.5034,1.16318
20.7,265.207,736.084,6175.24,6,2723.26,88.045,102.453,96.9733,1.15686
20.8,265.621,735.428,6184.89,6,2731.84,88.0457,102.461,96.4456,1.15057
20.9,266.033,734.775,6194.48,6,2740.38,88.0464,102.47,95.9202,1.14203
21,266.443,734.127,6204.02,6,2748.88,88.0472,102.479,95.3972,1.13806
21.1,266.851,733.482,6213.51,6,2757.36,88.0479,102.487,94.8765,1.13185
21.2,267.256,732.84,6222.94,6,2765.8,88.0486,102.496,94.3581,1.12566
21.3,267.659,732.202,6232.33,6,2774.2,88.0494,102.504,93.8421,1.11951
21.4,268.06,731.567,6241.66,6,2782.58,88.0501,102.512,93.3284,1.11338
21.5,268.458,730.936,6250.94,6,2790.92,88.0509,102.52,92.817,1.10728
21.6,268.855,730.308,6260.17,6,2799.22,88.0516,102.528,92.308,1.1012
21.7,269.249,729.684,6269.35,6,2807.5,88.0524,102.536,91.8012,1.09516
21.8,269.641,729.063,6278.48,6,2815.74,88.0531,102.544,91.2968,1.08914
21.9,270.031,728.446,6287.56,6,2823.94,88.0539,102.552,90.7946,1.081
22,270.419,727.832,6296.59,6,2832.12,88.0547,102.559,90.2948,1.07719
22.1,270.804,727.221,6305.57,6,2840.26,88.0554,102.567,89.7973,1.07125
22.2,271.188,726.614,6314.5,6,2848.36,88.0562,102.574,89.302,1.06534
22.3,271.569,726.01,6323.38,6,2856.44,88.057,102.581,88.8091,1.05946
22.4,271.949,725.41,6332.21,6,2864.48,88.0577,102.588,88.3184,1.05361
22.5,272.326,724.812,6341,6,2872.49,88.0585,102.595,87.8299,1.04778
22.6,272.701,724.218,6349.73,6,2880.46,88.0593,102.602,87.3438,1.04198
22.7,273.074,723.628,6358.42,6,2888.4,88.0601,102.609,86.8599,1.03621
22.8,273.445,723.04,6367.05,6,2896.31,88.0609,102.616,86.3783,1.03047
22.9,273.814,722.456,6375.64,6,2904.18,88.0616,102.623,85.8989,1.02271
23,274.181,721.875,6384.19,6,2912.02,88.0624,102.629,85.4218,1.01905
23.1,274.546,721.298,6392.68,6,2919.83,88.0632,102.636,84.9469,1.01339
23.2,274.908,720.723,6401.13,6,2927.61,88.064,102.642,84.4742,1.00775
23.3,275.269,720.152,6409.53,6,2935.35,88.0648,102.649,84.0038,1.00214
23.4,275.628,719.584,6417.88,6,2943.06,88.0656,102.655,83.5356,0.996553
23.5,275.985,719.019,6426.19,6,2950.74,88.0664,102.661,83.0696,0.990994
23.6,276.339,718.457,6434.45,6,2958.38,88.0672,102.667,82.6058,0.985461
23.7,276.692,717.899,6442.66,6,2965.99,88.068,102.673,82.1442,0.979955
23.8,277.043,717.343,6450.83,6,2973.57,88.0688,102.679,81.6849,0.974475
23.9,277.392,716.791,6458.96,6,2981.11,88.0696,102.685,81.2277,0.967098
24,277.739,716.242,6467.03,6,2988.63,88.0705,102.691,80.7727,0.963593
24.1,278.084,715.696,6475.06,6,2996.1,88.0713,102.696,80.3199,0.958191
24.2,278.427,715.152,6483.05,6,3003.55,88.0721,102.702,79.8693,0.952815
24.3,278.768,714.612,6490.99,6,3010.97,88.0729,102.708,79.4208,0.947465
24.4,279.107,714.075,6498.89,6,3018.35,88.0737,102.713,78.9745,0.942141
24.5,279.444,713.541,6506.74,6,3025.7,88.0746,102.718,78.5304,0.936842
24.6,279.78,713.01,6514.55,6,3033.01,88.0754,102.724,78.0884,0.931569
24.7,280.113,712.482,6522.32,6,3040.3,88.0762,102.729,77.6485,0.926322
24.8,280.445,711.957,6530.04,6,3047.55,88.0771,102.734,77.2108,0.921101
24.9,280.774,711.435,6537.72,6,3054.77,88.0779,102.739,76.7752,0.914087
25,281.102,710.916,6545.35,6,3061.96,88.0787,102.745,76.3418,0.910733
25.1,281.428,710.4,6552.94,6,3069.11,88.0796,102.75,75.9105,0.905588
25.2,281.752,709.887,6560.49,6,3076.23,88.0804,102.755,75.4813,0.900467
25.3,282.075,709.376,6568,6,3083.33,88.0813,102.759,75.0541,0.895372
25.4,282.395,708.869,6575.46,6,3090.38,88.0821,102.764,74.6291,0.890302
25.5,282.714,708.364,6582.88,6,3097.41,88.083,102.769,74.2062,0.885257
25.6,283.031,707.862,6590.26,6,3104.41,88.0838,102.774,73.7854,0.880236
25.7,283.346,707.364,6597.59,6,3111.37,88.0847,102.778,73.3666,0.875241
25.8,283.659,706.868,6604.89,6,3118.3,88.0855,102.783,72.95,0.87027
25.9,283.971,706.374,6612.14,6,3125.2,88.0864,102.788,72.5354,0.863607
26,284.28,705.884,6619.35,6,3132.07,88.0872,102.792,72.1228,0.860402
26.1,284.588,705.396,6626.53,6,3138.91,88.0881,102.797,71.7123,0.855505
26.2,284.895,704.911,6633.66,6,3145.71,88.089,102.801,71.3039,0.850633
26.3,285.199,704.429,6640.75,6,3152.48,88.0898,102.805,70.8975,0.845785
26.4,285.502,703.95,6647.8,6,3159.23,88.0907,102.81,70.4931,0.840961
26.5,285.803,703.473,6654.8,6,3165.94,88.0916,102.814,70.0908,0.836161
26.6,286.102,702.999,6661.77,6,3172.62,88.0924,102.818,69.6905,0.831385
26.7,286.4,702.528,6668.7,6,3179.26,88.0933,102.822,69.2922,0.826633
26.8,286.696,702.06,6675.59,6,3185.88,88.0942,102.826,68.8959,0.821906
26.9,286.99,701.594,6682.44,6,3192.47,88.0951,102.83,68.5015,0.81558
27,287.282,701.131,6689.25,6,3199.02,88.0959,102.834,68.1092,0.812522
27.1,287.573,700.67,6696.03,6,3205.55,88.0968,102.838,67.7189,0.807865
27.2,287.862,700.212,6702.76,6,3212.04,88.0977,102.842,67.3306,0.803232
27.3,288.15,699.757,6709.45,6,3218.5,88.0986,102.846,66.9442,0.798623
27.4,288.436,699.305,6716.11,6,3224.94,88.0995,102.85,66.5598,0.794037
27.5,288.72,698.855,6722.73,6,3231.34,88.1004,102.853,66.1774,0.789475
27.6,289.003,698.407,6729.31,6,3237.71,88.1013,102.857,65.7969,0.784936
27.7,289.284,697.962,6735.85,6,3244.05,88.1022,102.861,65.4183,0.78042
27.8,289.563,697.52,6742.35,6,3250.36,88.1031,102.864,65.0417,0.775927
27.9,289.841,697.08,6748.82,6,3256.64,88.104,102.868,64.667,0.769926
28,290.117,696.643,6755.25,6,3262.89,88.1049,102.872,64.2942,0.76701
28.1,290.391,696.208,6761.64,6,3269.11,88.1058,102.875,63.9234,0.762586
28.2,290.664,695.776,6768,6,3275.3,88.1067,102.879,63.5545,0.758185
28.3,290.936,695.347,6774.31,6,3281.46,88.1076,102.882,63.1874,0.753806
28.4,291.205,694.919,6780.6,6,3287.59,88.1085,102.885,62.8223,0.74945
28.5,291.474,694.495,6786.84,6,3293.69,88.1094,102.889,62.4591,0.745117
28.6,291.74,694.072,6793.05,6,3299.76,88.1103,102.892,62.0977,0.740806
28.7,292.005,693.653,6799.23,6,3305.8,88.1112,102.895,61.7382,0.736517
28.8,292.269,693.235,6805.36,6,3311.81,88.1121,102.899,61.3806,0.732251
28.9,292.531,692.82,6811.47,6,3317.8,88.113,102.902,61.0248,0.726562
